Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420163241.7582347393;-87.13098907470703125;-93.11627960205078125
1420164240.7592337132;-83.24767303466796875;-96.320556640625
1420165239.760232687;-81.17766571044921875;-100.2257080078125
1420166238.7612316608;-80.615325927734375;-96.84490203857421875
1420167237.7622306347;-80.66909027099609375;-95.10031890869140625
1420168236.7632296085;-81.27577972412109375;-106.27439117431640625
1420169235.7642285824;-82.789642333984375;-93.45864105224609375
1420170234.7652275562;-85.36346435546875;-88.6666107177734375
1420171233.7662265301;-85.50899505615234375;-91.77999114990234375
1420172232.7672255039;-85.1659393310546875;-94.4478607177734375
1420173231.7682244778;-84.9156951904296875;-86.98267364501953125
1420174230.7692234516;-83.71285247802734375;-87.7713775634765625
1420175229.7702224255;-82.80225372314453125;-86.05179595947265625
1420176228.7712213993;-79.7310638427734375;-88.1037139892578125
1420177227.7722203732;-78.3328399658203125;-91.6393280029296875
1420178226.773219347;-78.0624847412109375;-91.06879425048828125
1420179225.7742183208;-78.18216705322265625;-89.15982818603515625
1420180224.7752172947;-78.8735198974609375;-87.4130706787109375
1420181223.7762162685;-79.9613494873046875;-86.742279052734375
1420182222.7772152424;-81.31020355224609375;-88.37357330322265625
1420183221.7782142162;-82.73101806640625;-93.21820068359375
1420184220.7792131901;-83.3608245849609375;-94.9017791748046875
1420185219.7802121639;-84.63687896728515625;-90.143646240234375
1420186218.7812111378;-85.3399810791015625;-93.495269775390625
1420187217.7822101116;-82.82036590576171875;-85.01126861572265625
1420188216.7832090855;-81.72015380859375;-83.1125640869140625
1420189215.7842080593;-80.98311614990234375;-82.26717376708984375
1420190214.7852070332;-81.22020721435546875;-82.67177581787109375
1420191213.786206007;-82.5980987548828125;-86.4791717529296875
1420192212.7872049809;-83.17414093017578125;-87.99001312255859375
1420193211.7882039547;-86.1700592041015625;-87.885345458984375
1420194210.7892029285;-83.753509521484375;-87.791259765625
1420195209.7902019024;-83.7169342041015625;-87.42122650146484375
1420196208.7912008762;-84.441253662109375;-86.17999267578125
1420197207.7921998501;-85.00991058349609375;-88.50797271728515625
1420198206.7931988239;-85.70842742919921875;-89.1588134765625
1420199205.7941977978;-84.07857513427734375;-88.946380615234375
1420200204.7951967716;-80.57711029052734375;-90.6479949951171875
1420201203.7961957455;-79.98978424072265625;-89.798675537109375
1420202202.7971947193;-80.5524444580078125;-89.68810272216796875
1420203201.7981936932;-83.42206573486328125;-87.3283538818359375
1420204200.799192667;-84.65822601318359375;-88.54392242431640625
1420205199.8001916409;-84.199432373046875;-89.2447967529296875
1420206198.8011906147;-84.3343353271484375;-88.95079803466796875
1420207197.8021895885;-85.6290740966796875;-90.73963165283203125
1420208196.8031885624;-86.83179473876953125;-91.104827880859375
1420209195.8041875362;-84.62612152099609375;-89.22359466552734375
1420210194.8051865101;-83.5572052001953125;-94.3852081298828125
1420211193.8061854839;-84.04364776611328125;-93.43950653076171875
1420212192.8071844578;-88.148101806640625;-95.555755615234375
1420213191.8081834316;-89.57391357421875;-97.31097412109375
1420214190.8091824055;-87.97011566162109375;-93.6180419921875
1420215189.8101813793;-86.391845703125;-88.93282318115234375
1420216188.8111803532;-84.579315185546875;-88.53296661376953125
1420217187.812179327;-83.70131683349609375;-87.91564178466796875
1420218186.8131783009;-83.75850677490234375;-85.7695465087890625
1420219185.8141772747;-84.426055908203125;-87.2842864990234375
1420220184.8151762486;-84.3604736328125;-93.1281890869140625
1420221183.8161752224;-84.42125701904296875;-99.46942901611328125
1420222182.8171741962;-84.7622528076171875;-95.32329559326171875
1420223181.8181731701;-85.75913238525390625;-95.489227294921875
1420224180.8191721439;-88.17803192138671875;-91.24074554443359375
1420225179.8201711178;-86.60422515869140625;-90.50658416748046875
1420226178.8211700916;-82.98514556884765625;-87.98502349853515625
1420227177.8221690655;-81.48453521728515625;-88.4007110595703125
1420228176.8231680393;-81.2542724609375;-87.312896728515625
1420229175.8241670132;-81.6086578369140625;-85.2113037109375
1420230174.825165987;-83.50322723388671875;-85.5589599609375
1420231173.8261649609;-85.29332733154296875;-87.57314300537109375
1420232172.8271639347;-86.1938934326171875;-90.28704833984375
1420233171.8281629086;-89.5731048583984375;-100.6416473388671875
1420234170.8291618824;-88.76992034912109375;-98.634521484375
1420235169.8301608562;-87.80046844482421875;-94.79282379150390625
1420236168.8311598301;-87.22878265380859375;-89.9089202880859375
1420237167.8321588039;-86.660400390625;-87.51146697998046875
1420238166.8331577778;-86.25798797607421875;-88.76270294189453125
1420239165.8341567516;-85.996063232421875;-91.1554718017578125
1420240164.8351557255;-85.54763031005859375;-89.0635223388671875
1420241163.8361546993;-85.2466888427734375;-86.34526824951171875
1420242162.8371536732;-84.52901458740234375;-85.69256591796875
