Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;10000.000000;Hz
VBW;10000.000000;Hz
SWT;0.000419;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420163241.7582347393;-106.3706817626953125;-106.3706817626953125
1420164240.7592337132;-104.4661102294921875;-104.4661102294921875
1420165239.760232687;-103.13799285888671875;-103.13799285888671875
1420166238.7612316608;-102.2515716552734375;-102.2515716552734375
1420167237.7622306347;-101.724822998046875;-101.724822998046875
1420168236.7632296085;-101.50035858154296875;-101.50035858154296875
1420169235.7642285824;-101.5289764404296875;-101.5289764404296875
1420170234.7652275562;-101.754913330078125;-101.754913330078125
1420171233.7662265301;-102.10034942626953125;-102.10034942626953125
1420172232.7672255039;-102.45156097412109375;-102.45156097412109375
1420173231.7682244778;-102.66375732421875;-102.66375732421875
1420174230.7692234516;-102.60936737060546875;-102.60936737060546875
1420175229.7702224255;-102.2527313232421875;-102.2527313232421875
1420176228.7712213993;-101.67230224609375;-101.67230224609375
1420177227.7722203732;-101.00034332275390625;-101.00034332275390625
1420178226.773219347;-100.35353851318359375;-100.35353851318359375
1420179225.7742183208;-99.80764007568359375;-99.80764007568359375
1420180224.7752172947;-99.4031829833984375;-99.4031829833984375
1420181223.7762162685;-99.1588287353515625;-99.1588287353515625
1420182222.7772152424;-99.0816192626953125;-99.0816192626953125
1420183221.7782142162;-99.17328643798828125;-99.17328643798828125
1420184220.7792131901;-99.4334869384765625;-99.4334869384765625
1420185219.7802121639;-99.86075592041015625;-99.86075592041015625
1420186218.7812111378;-100.45153045654296875;-100.45153045654296875
1420187217.7822101116;-101.1959381103515625;-101.1959381103515625
1420188216.7832090855;-102.068756103515625;-102.068756103515625
1420189215.7842080593;-103.0124969482421875;-103.0124969482421875
1420190214.7852070332;-103.9152374267578125;-103.9152374267578125
1420191213.786206007;-104.60565948486328125;-104.60565948486328125
1420192212.7872049809;-104.914825439453125;-104.914825439453125
1420193211.7882039547;-104.79918670654296875;-104.79918670654296875
1420194210.7892029285;-104.38211822509765625;-104.38211822509765625
1420195209.7902019024;-103.84976959228515625;-103.84976959228515625
1420196208.7912008762;-103.34417724609375;-103.34417724609375
1420197207.7921998501;-102.934478759765625;-102.934478759765625
1420198206.7931988239;-102.63329315185546875;-102.63329315185546875
1420199205.7941977978;-102.4163055419921875;-102.4163055419921875
1420200204.7951967716;-102.23969268798828125;-102.23969268798828125
1420201203.7961957455;-102.05681610107421875;-102.05681610107421875
1420202202.7971947193;-101.8364105224609375;-101.8364105224609375
1420203201.7981936932;-101.5742340087890625;-101.5742340087890625
1420204200.799192667;-101.29270172119140625;-101.29270172119140625
1420205199.8001916409;-101.02886199951171875;-101.02886199951171875
1420206198.8011906147;-100.82036590576171875;-100.82036590576171875
1420207197.8021895885;-100.69586181640625;-100.69586181640625
1420208196.8031885624;-100.6719207763671875;-100.6719207763671875
1420209195.8041875362;-100.75372314453125;-100.75372314453125
1420210194.8051865101;-100.937469482421875;-100.937469482421875
1420211193.8061854839;-101.2130279541015625;-101.2130279541015625
1420212192.8071844578;-101.56656646728515625;-101.56656646728515625
1420213191.8081834316;-101.982940673828125;-101.982940673828125
1420214190.8091824055;-102.44733428955078125;-102.44733428955078125
1420215189.8101813793;-102.94553375244140625;-102.94553375244140625
1420216188.8111803532;-103.462005615234375;-103.462005615234375
1420217187.812179327;-103.974945068359375;-103.974945068359375
1420218186.8131783009;-104.44788360595703125;-104.44788360595703125
1420219185.8141772747;-104.8206939697265625;-104.8206939697265625
1420220184.8151762486;-105.00922393798828125;-105.00922393798828125
1420221183.8161752224;-104.92761993408203125;-104.92761993408203125
1420222182.8171741962;-104.535919189453125;-104.535919189453125
1420223181.8181731701;-103.87530517578125;-103.87530517578125
1420224180.8191721439;-103.0518341064453125;-103.0518341064453125
1420225179.8201711178;-102.185821533203125;-102.185821533203125
1420226178.8211700916;-101.37482452392578125;-101.37482452392578125
1420227177.8221690655;-100.6847991943359375;-100.6847991943359375
1420228176.8231680393;-100.1553497314453125;-100.1553497314453125
1420229175.8241670132;-99.8084869384765625;-99.8084869384765625
1420230174.825165987;-99.6548614501953125;-99.6548614501953125
1420231173.8261649609;-99.69757080078125;-99.69757080078125
1420232172.8271639347;-99.93376922607421875;-99.93376922607421875
1420233171.8281629086;-100.3547515869140625;-100.3547515869140625
1420234170.8291618824;-100.944915771484375;-100.944915771484375
1420235169.8301608562;-101.67964935302734375;-101.67964935302734375
1420236168.8311598301;-102.52313995361328125;-102.52313995361328125
1420237167.8321588039;-103.4275360107421875;-103.4275360107421875
1420238166.8331577778;-104.33458709716796875;-104.33458709716796875
1420239165.8341567516;-105.18152618408203125;-105.18152618408203125
1420240164.8351557255;-105.90821075439453125;-105.90821075439453125
1420241163.8361546993;-106.462860107421875;-106.462860107421875
1420242162.8371536732;-106.8040771484375;-106.8040771484375
1420243161.838152647;-106.9068756103515625;-106.9068756103515625
1420244160.8391516209;-106.7755279541015625;-106.7755279541015625
1420245159.8401505947;-106.45244598388671875;-106.45244598388671875
1420246158.8411495686;-106.00925445556640625;-106.00925445556640625
1420247157.8421485424;-105.52374267578125;-105.52374267578125
1420248156.8431475163;-105.05922698974609375;-105.05922698974609375
1420249155.8441464901;-104.65643310546875;-104.65643310546875
1420250154.8451454639;-104.3343353271484375;-104.3343353271484375
1420251153.8461444378;-104.0956878662109375;-104.0956878662109375
1420252152.8471434116;-103.93277740478515625;-103.93277740478515625
1420253151.8481423855;-103.8328704833984375;-103.8328704833984375
1420254150.8491413593;-103.7823486328125;-103.7823486328125
1420255149.8501403332;-103.769775390625;-103.769775390625
1420256148.851139307;-103.78802490234375;-103.78802490234375
1420257147.8521382809;-103.83452606201171875;-103.83452606201171875
1420258146.8531372547;-103.91143798828125;-103.91143798828125
1420259145.8541362286;-104.02417755126953125;-104.02417755126953125
1420260144.8551352024;-104.180877685546875;-104.180877685546875
1420261143.8561341763;-104.390899658203125;-104.390899658203125
1420262142.8571331501;-104.6639862060546875;-104.6639862060546875
1420263141.8581321239;-105.00994110107421875;-105.00994110107421875
1420264140.8591310978;-105.43773651123046875;-105.43773651123046875
1420265139.8601300716;-105.9549713134765625;-105.9549713134765625
1420266138.8611290455;-106.56325531005859375;-106.56325531005859375
1420267137.8621280193;-107.2477264404296875;-107.2477264404296875
1420268136.8631269932;-107.9532318115234375;-107.9532318115234375
1420269135.864125967;-108.5488433837890625;-108.5488433837890625
1420270134.8651249409;-108.81725311279296875;-108.81725311279296875
1420271133.8661239147;-108.55837249755859375;-108.55837249755859375
1420272132.8671228886;-107.77927398681640625;-107.77927398681640625
1420273131.8681218624;-106.7047576904296875;-106.7047576904296875
1420274130.8691208363;-105.589141845703125;-105.589141845703125
