Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420162242.7572357655;-82.48603057861328125;-90.47792816162109375
1420163241.7582347393;-82.56386566162109375;-89.02573394775390625
1420164240.7592337132;-84.74571990966796875;-88.7014312744140625
1420165239.760232687;-89.0416717529296875;-93.839691162109375
1420166238.7612316608;-89.43303680419921875;-92.50180816650390625
1420167237.7622306347;-87.62109375;-89.59420013427734375
1420168236.7632296085;-85.88135528564453125;-89.15224456787109375
1420169235.7642285824;-84.790863037109375;-91.6248016357421875
1420170234.7652275562;-84.66204833984375;-92.8834991455078125
1420171233.7662265301;-85.8377838134765625;-92.8712615966796875
1420172232.7672255039;-89.32427215576171875;-93.88816070556640625
1420173231.7682244778;-87.1813812255859375;-94.560699462890625
1420174230.7692234516;-83.01895904541015625;-97.68958282470703125
1420175229.7702224255;-82.3528594970703125;-100.1178436279296875
1420176228.7712213993;-82.730438232421875;-96.88019561767578125
1420177227.7722203732;-84.77642822265625;-91.3556060791015625
1420178226.773219347;-87.98049163818359375;-91.340545654296875
1420179225.7742183208;-88.1447296142578125;-94.5798187255859375
1420180224.7752172947;-87.8927001953125;-90.74761962890625
1420181223.7762162685;-86.715118408203125;-94.23418426513671875
1420182222.7772152424;-86.2797698974609375;-90.203369140625
1420183221.7782142162;-86.40411376953125;-90.16120147705078125
1420184220.7792131901;-87.742706298828125;-91.84734344482421875
1420185219.7802121639;-88.831390380859375;-90.75803375244140625
1420186218.7812111378;-88.01288604736328125;-89.63585662841796875
1420187217.7822101116;-86.4949188232421875;-89.94451141357421875
1420188216.7832090855;-85.8097686767578125;-90.05313873291015625
1420189215.7842080593;-85.10672760009765625;-88.5311279296875
1420190214.7852070332;-83.48198699951171875;-85.83336639404296875
1420191213.786206007;-82.373138427734375;-85.023101806640625
1420192212.7872049809;-82.3023681640625;-85.768768310546875
1420193211.7882039547;-83.0594940185546875;-85.66120147705078125
1420194210.7892029285;-84.1385040283203125;-88.737335205078125
1420195209.7902019024;-84.26152801513671875;-91.9072723388671875
1420196208.7912008762;-86.17010498046875;-88.79521942138671875
1420197207.7921998501;-87.4392242431640625;-95.614715576171875
1420198206.7931988239;-88.65103912353515625;-100.65453338623046875
1420199205.7941977978;-90.33612060546875;-94.62042999267578125
1420200204.7951967716;-89.198394775390625;-95.78678131103515625
1420201203.7961957455;-86.57947540283203125;-97.16147613525390625
1420202202.7971947193;-85.1278076171875;-93.58638763427734375
1420203201.7981936932;-84.86346435546875;-94.09612274169921875
1420204200.799192667;-84.63849639892578125;-91.3762664794921875
1420205199.8001916409;-84.0659332275390625;-85.58396148681640625
1420206198.8011906147;-83.79965972900390625;-85.14864349365234375
1420207197.8021895885;-84.2095947265625;-89.77187347412109375
1420208196.8031885624;-86.2238922119140625;-92.6037139892578125
1420209195.8041875362;-88.277435302734375;-92.6429901123046875
1420210194.8051865101;-88.12039947509765625;-92.6771697998046875
1420211193.8061854839;-89.69510650634765625;-93.69458770751953125
1420212192.8071844578;-93.7998199462890625;-97.54798126220703125
1420213191.8081834316;-89.66819000244140625;-96.05799102783203125
1420214190.8091824055;-86.95660400390625;-89.9454193115234375
1420215189.8101813793;-85.133056640625;-87.08049774169921875
1420216188.8111803532;-85.0830078125;-88.47328948974609375
1420217187.812179327;-84.8253021240234375;-89.09429168701171875
1420218186.8131783009;-84.65586090087890625;-87.3390045166015625
1420219185.8141772747;-83.1747283935546875;-84.6383514404296875
1420220184.8151762486;-82.880706787109375;-84.029632568359375
1420221183.8161752224;-82.9866180419921875;-84.32164764404296875
1420222182.8171741962;-83.42809295654296875;-87.86208343505859375
1420223181.8181731701;-86.12808990478515625;-101.97791290283203125
1420224180.8191721439;-91.4983978271484375;-95.50435638427734375
1420225179.8201711178;-88.305633544921875;-91.26390838623046875
1420226178.8211700916;-86.3095703125;-88.92690277099609375
1420227177.8221690655;-84.57848358154296875;-86.008026123046875
1420228176.8231680393;-84.03522491455078125;-84.5919647216796875
