Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420300000.000000;Hz
Freq Offset;0.000000;Hz
Start;1418400000.000000;Hz
Stop;1422200000.000000;Hz
Span;3800000.000000;Hz
Ref Level;1.857600;dBm
Level Offset;0.000000;dB
Rf Att;11.000000;dB
El Att;0.000000;dB
RBW;50000.000000;Hz
VBW;50000.000000;Hz
SWT;0.001010;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;75.000000;%
Level Range;90.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1419385114.8851006031;-84.0904388427734375;-84.0904388427734375
1419388911.0888967514;-82.41872406005859375;-82.41872406005859375
1419392707.2926928997;-80.99550628662109375;-80.99550628662109375
1419396503.496489048;-79.90706634521484375;-79.90706634521484375
1419400299.7002851963;-79.25647735595703125;-79.25647735595703125
1419404095.9040813446;-78.92269134521484375;-78.92269134521484375
1419407892.1078774929;-78.854034423828125;-78.854034423828125
1419411688.3116736412;-78.8711395263671875;-78.8711395263671875
1419415484.5154697895;-79.00928497314453125;-79.00928497314453125
1419419280.7192659378;-79.3103485107421875;-79.3103485107421875
1419423076.9230620861;-79.5849456787109375;-79.5849456787109375
1419426873.1268582344;-79.94571685791015625;-79.94571685791015625
1419430669.3306543827;-80.42395782470703125;-80.42395782470703125
1419434465.534450531;-81.0834197998046875;-81.0834197998046875
1419438261.7382466793;-82.0157623291015625;-82.0157623291015625
1419442057.9420428276;-83.45783233642578125;-83.45783233642578125
1419445854.1458389759;-85.4397125244140625;-85.4397125244140625
1419449650.3496351242;-88.21031951904296875;-88.21031951904296875
1419453446.5534312725;-91.90966796875;-91.90966796875
1419457242.7572274208;-95.70478057861328125;-95.70478057861328125
1419461038.9610235691;-95.24141693115234375;-95.24141693115234375
1419464835.1648197174;-94.28125762939453125;-94.28125762939453125
1419468631.3686158657;-93.98342132568359375;-93.98342132568359375
